# 12 columns: title|client|brief|truth|clue_a|clue_b|informed action|informed outcome|contract action|contract outcome|compromise action|compromise outcome
# 01 灯守の地下水道
# 02 塩哭きの廃坑
塩の花嫁|坑夫のメル|坑道奥で花嫁の姿を見た同僚が戻りません。白い像を調べてください。|花嫁は塩に覆われた避難標識で、同僚は像の向く安全坑へ人を誘導しています。|裾に見えた部分には矢印の浮き彫りが残っています。|姿を見た者だけが落盤のない枝道へ移り、足跡も続いています。|像の塩を払い避難路を標示する|迷った坑夫が帰りました。花嫁の噂は、助ける方角を教える話へ変わります。|白い像を守る骸兵を倒して砕く|行方不明者は見つかりましたが、帰り道を新しく測り直す必要が生まれます。|像を残し縄で帰路をつなぐ|伝説は残り、初めて来た坑夫にも縄の意味は通じるようになりました。
三つのつるはし|鍛冶屋のダン|同じ銘のつるはしが三本あり、本物の回収を頼まれました。|三本とも本物で、銘は名工一人でなく工房の共同名です。|柄の握り跡は三人分ですが、鍛接の印は同じ順序で刻まれています。|工房の当番表には銘と同じ三つの記号が並びます。|三人の仕事としてまとめて返す|鍛冶屋は展示札を書き直しました。名工の値は下がり、弟子の名が初めて売れます。|坑道の番獣を倒し一番鋭い一本を選ぶ|依頼人は満足しました。残る二本の作り手は贋作者と呼ばれ続けます。|使える二本を坑夫へ貸し一本だけ返す|展示は一つ増え、坑夫の仕事も進みました。銘の議論は後回しになります。
呼吸する鉱脈|鉱石商のセイ|鉱脈が膨らむため掘れません。奥の異変を止めてください。|鉱脈ではなく、塩の下に生きた巨根があり地下湖の水を吸っています。|膨張は採掘音に反応せず、地下湖の水位と同期します。|欠片を割ると年輪状の繊維と湿った芽が現れます。|根の通り道を残して鉱脈を迂回する|採掘量は減りましたが湖は濁らず、巨根の傍に安全な休憩所ができます。|根に巣食う魔物ごと切り開く|良質な塩が取れました。地下湖は少しずつ溢れ、次の排水費が積まれます。|調査標を置いて採掘を凍結する|鉱石商は不満でしたが、坑夫は休暇を得ました。根の動きは記録に残ります。
帰りの貨車|貨車番のホド|空のはずの貨車が重くて上がりません。積荷を確認してください。|帰り便は負傷した坑夫を隠して運び、欠勤扱いを避けています。|荷台の下から包帯が出ていますが、鉱石の粉は付いていません。|作業簿では全員出勤なのに、賃金受取には家族が並んでいます。|負傷を記録し搬送便として通す|家族は看病できました。坑主は補償を迫られ、貨車には人用の手すりが付きます。|線路の魔物を退け貨車だけ引き上げる|坑夫は密かに帰れました。次の負傷者も同じ床下に押し込まれます。|荷を二回に分け誰も告発しない|その日の搬送は終わりました。貨車番はあなたにだけ次の便の時刻を教えます。
泣く塩柱|坑道礼拝堂のマヤ|聖人像の塩柱から涙が流れます。巡礼前に由来を確認してください。|涙は保存された古い坑夫名簿へ染み込み、死者の名前を消しています。|水滴は像の目より上の亀裂から伝い、裏の棚へ落ちています。|名簿の失われた行に限って、遺族への補償記録が途切れています。|涙を受け、名簿を写して公開する|奇跡の水は瓶に収まり、名前は紙に戻りました。巡礼者は遺族への寄付を始めます。|柱に憑いた霊を祓って水を止める|柱は乾きました。読めなくなった名前の補償は、そのまま審査待ちになります。|名簿を乾かし礼拝堂へ預ける|名前の一部は救えました。マヤは祭壇より先に帳簿の部屋を修理します。
無音の発破|発破師のネフ|爆発音がしない発破が続いています。火薬泥棒を探してください。|発破師の助手は振動に弱い避難区画を守るため、水割り火薬へ替えています。|導火線は燃え切り、岩には小さな割れだけが規則的に入っています。|壁の向こうに食器の棚があり、大きな振動を受けた皿だけが割れています。|避難区画を移して小規模発破を続ける|採掘は遅くても進みました。助手は初めて配合表へ自分の名を書きます。|盗人扱いの魔物を倒し強い火薬へ戻す|坑道は一気に延びました。避難者は食器を捨てて、さらに奥へ移ります。|助手の火薬を買い取り疑いを晴らす|帳尻は合いました。発破師は音だけで出来を決めないと約束します。
二度掘られた墓|坑夫遺族会|死んだ坑夫の墓が地下にもあります。遺骨をどちらへ戻すか調べてください。|地上の墓は家族のため、地下の墓は帰れなかった仲間のための空墓です。|地下の棺には骨でなく、働いていた時の弁当箱が入っています。|地上の墓石の日付は葬儀、地下の日付は最後の交代日です。|二つの墓の由来を刻み両方残す|家族は地下の弁当箱へ花を置きました。どちらの弔いも偽物とは呼ばれなくなります。|墓守の骸兵を倒し地下墓を撤去する|遺骨の混乱は解消しました。坑夫は空いた穴を見て、弁当を黙って分けます。|弁当箱だけ遺族へ届ける|家族は初めて仕事場の話を聞きました。空墓には仲間が新しい箱を置きます。
白い借金|質屋のオウ|塩の板に刻まれた借用証を回収してください。雨で溶ける前が期限です。|塩の証文は返済日に水へ沈める慣習で、質屋が回収を頼んだ日は完済日です。|板には額だけでなく、最後の割賦に丸が刻まれています。|保管棚の下には同じ大きさの溶け跡が何十枚もあります。|完済印を写し証文を慣習通り溶かす|借り手は解放されました。質屋は紙の帳簿を作り、あなたとは取引を控えます。|証文を守る塩獣を倒し板を納める|質屋はまだ読める額を請求しました。借り手の家には再び赤札が付きます。|双方の前で板を割り半分ずつ渡す|再請求には互いの確認が必要になりました。塩の角は、会うたびに少し丸くなります。
底なしの計量器|鉱山会計のルチ|同じ鉱石が毎回違う重さになります。計量室を調査してください。|計量器は正しく、塩の吸湿で重さが変わることを坑主が賃金計算に利用しています。|分銅はどの台でも一致し、濡れた袋だけが時間とともに重くなります。|坑夫の計量は乾いた朝、売却の計量は湿った夕方に集中しています。|乾燥重量で帳簿を計算し直す|過去の賃金が一部戻りました。会計は秤の横に乾燥皿を置きます。|秤を狂わせる魔物を倒して新品に替える|新品でも数字は変わりました。坑主は魔物が戻ったと新しい依頼を出します。|朝夕二回量って平均で取引する|不公平は小さくなりました。坑夫は二度列に並ぶ手間を引き受けます。
坑道の王冠|坑夫のメル|廃坑の王を名乗る者が出口を塞いでいます。代表として会ってください。|王冠は最後まで坑道に残る責任者の印で、王は交代役を待っています。|王冠の内側に脱出手順が刻まれ、宝石の代わりに予備の栓が付いています。|王座からは全ての支柱が見え、交代表の最後の欄だけが空白です。|支柱を補修し全員で役目を終える|王冠は資料室へ置かれました。メルは坑夫に、最後の一人を作らない交代表を配ります。|王の守護兵を倒して出口を奪う|出口は開きました。王と呼ばれた坑夫は、誰もいない地下へ戻っていきます。|一日だけ王冠を預かり交代を募る|王は眠れました。仕事を知った人々が、短い交代を引き受け始めます。
# 03 根喰みの地下庭園
種を盗む鳥|庭師のユイ|地下庭園の種が毎晩盗まれます。羽根をたどって取り戻してください。|鳥は種を食べず、光の届く亀裂へ運んで発芽させています。|巣に種の殻がなく、くちばしに付いた土だけが残っています。|盗まれた種と同じ芽が天井の亀裂から下向きに伸びています。|亀裂を育苗床にして鳥と分け合う|盗難表は育苗記録に変わりました。ユイは鳥の分まで種袋を量ります。|巣の魔物を追い払い種を全て戻す|在庫は戻りました。暗い棚に並ぶ袋からは、芽が出ませんでした。|半分の種を残し残りを回収する|新芽も在庫も少しずつ増えます。毎晩数える仕事は続きます。
緑の寝息|薬師のハナ|薬草を採りに行った仲間が眠ったままです。眠りの原因を探してください。|眠りは毒でなく、負傷者の熱を下げる胞子の治療反応です。|眠る仲間の熱は下がり、傷の周りだけ胞子が黒くなっています。|健康な虫は花の上でも動き、傷ついた虫だけ葉陰へ運ばれています。|傷を処置し胞子が離れるのを待つ|仲間は自分で目を覚ましました。薬師は採集袋に治療中の札を追加します。|胞子の主を倒し仲間を起こす|仲間は歩いて帰りましたが、治りかけた傷が再び熱を持ちます。|眠ったまま担架で薬師へ運ぶ|原因を断定せず治療を続けました。薬師は持ち帰った胞子から薬を試します。
母樹の指輪|旅人のアセ|木の根に絡んだ母の指輪を取ってほしいと言います。切る許可は得ていません。|指輪は母が根の成長を測るために掛けた標識で、地下の崩落を予告しています。|指輪の内側には名前でなく、前年の根の周囲が刻まれています。|同じ印の輪が高さ順に並び、最新の輪だけ引き千切れています。|測定記録を写してから輪を外す|アセは母の仕事を知りました。指輪は手元に、測定標は庭園に残ります。|根守りを倒して絡んだ根を切る|指輪は返りました。通路の膨らみを知らせる最後の印は失われます。|指輪の写しを作り本体を残す|アセは写しを身に着けました。母の名は測定記録の最初に書かれます。
食べられる地図|採集人のノム|葉に描かれた道案内が消えます。奥へ進める地図を作ってください。|葉を食べる虫が危険な花粉に反応し、安全な道だけを残しています。|地図の消えた道には花粉が積もり、残った道は風が通っています。|虫は新しい墨を避けず、特定の花の印だけを先に食べます。|虫の食跡を凡例にして写す|消える地図は更新される地図になりました。採集人は古い写しに日付を入れます。|地図喰いを倒し葉を薬で固める|地図は長持ちしました。花の咲き方が変わると、書かれた近道は危険になります。|安全が確かめられた道だけ刻む|遠回りの地図が完成しました。初めての採集人は無事に帰ります。
地下の雨乞い|水運びのピノ|地下なのに雨乞い祭を求められました。雨が降る仕組みを調べてください。|祭の歌は天井の集水弁を操作する合図で、担当者の交代が忘れられています。|祭具に混じって弁を回す長い鍵があり、歌詞と同じ数字が付いています。|古い祭の記録には、歌い手とは別に天井番の給金が載っています。|天井番を復活させ祭を行う|雨は予定通り降りました。子供は歌を覚え、大人は弁の点検日を覚えます。|雲を抱く魔物を倒し弁をこじ開ける|庭は潤いましたが一角が水浸しです。次は排水の依頼が必要になります。|水を手で運び今年の祭を支える|祭は続きました。疲れた腕を見て、来年の担当者が自分から名乗ります。
実らない約束|果樹番のレイ|同じ木だけ実りません。呪いと噂される枝を調べてください。|木は接ぎ木の台木で、実る枝を外へ売られた後も養分を送り続けています。|切り口は病気で黒くなっておらず、商人の封蝋が残っています。|隣の鉢の枝は同じ樹皮を持ち、移植票の値段だけが隠されています。|売られた穂を戻して接ぎ直す|収穫は先になります。レイは今年の空籠を、来年の苗代として受け入れます。|寄生獣を倒し台木を燃料にする|薪代は入りました。果樹園の並びには一本分の空が残ります。|別の木から穂を分けて育てる|違う味の実がなることになりました。失った枝の話は、新しい木の名に残ります。
花粉の身代金|採集人のノム|出口を塞ぐ花の群れが荷を要求します。通れる道を探してください。|花は荷の香料に反応して閉じ、価値のある品を選んでいるわけではありません。|安い香袋に花が集まり、金貨を置いても動きません。|風上へ移した空袋にも同じように蔓が伸びています。|香袋を別道へ置き荷を通す|荷は無事に出ました。採集人は荷札に匂いの欄を作ります。|門番花を倒して根を断つ|道は開きました。花粉を頼りに育つ下草が、次の季節には消えます。|香料だけ置いて運賃を取り直す|損は小さく済みました。花の門は、香袋を持たない旅人には開いたままです。
庭師の空席|庭師のユイ|先代庭師の作業席を調べてください。残された手順が誰にも読めません。|手順は文字でなく道具の配置で、先代は読み書きのできない弟子へ教えていました。|刃物の向きと水桶の位置が、日ごとの作業順と一致します。|棚の墨文字は後から足され、実際の道具の減り方と食い違います。|道具を並べて弟子と手順を再現する|弟子は自分の言葉で説明しました。ユイは文字と配置の両方を記録します。|席を占めた蔓獣を倒し新しい規則へ替える|作業は統一されました。先代しか知らない剪定だけが、翌春に不足します。|席を保存し分かる手順だけ引き継ぐ|庭の手入れはゆっくり再開しました。分からない道具に名前札が増えていきます。
赤い蜜の契約|養蜂家のミナ|赤い蜜を納める契約ですが、蜂を刺激すると庭が閉じます。採取方法を探してください。|赤い蜜は蜂の冬の備蓄で、花期を誤った契約が巣の生存と衝突しています。|赤い房には幼虫用の薄い蓋が重ねられ、他の蜜と分けられています。|契約日は地上の開花暦で、地下の花はすでに一季遅れています。|花期の違いを示して納期を延ばす|蜂は冬を越せます。養蜂家は違約金を払いながら、地下用の暦を作ります。|女王の護衛を倒し契約量を採る|代金は入りました。春に戻った巣には、前ほど羽音がありません。|少量だけ納め不足を別蜜で補う|契約先は味の違いを認めました。赤い蜜は限定品として扱われます。
根の向こうの朝|薬師のハナ|地上へ伸びる根が庭園を裂こうとしています。切るか通すか決めてください。|根は日光へ向かっていますが、通れば庭園を支える古い天井も崩れます。|根の先の色は光に近いほど濃く、支柱の周りだけ細く逃げています。|旧庭園図には撤去された明かり取りと、補強梁の位置があります。|明かり取りを補強し根をそこへ導く|地下に朝の光が差しました。守る庭と伸びる木は、同じ穴を使えます。|根の化身を倒し成長を止める|庭園は形を保ちました。ハナは切り株から取れる最後の薬を保存します。|人と薬草を移して根へ庭を渡す|庭園は森へ変わりました。地上の新しい薬畑には、地下の名が付けられます。
# 04 鏡沈みの礼拝堂
遅れる祈り|聖歌隊のキリ|祈りの声が一日遅れて返ります。誰の声か確かめてください。|礼拝堂の録音水晶が夜間に前日の声を再生しています。|返る声には昨日落とした燭台の音まで含まれます。|水晶の台座には日付の歯車があり、一日分だけずれています。|水晶を直し記録の仕組みを公開する|祈りは記録として聞かれました。奇跡を失った人も、亡き家族の声を聞きに来ます。|声の守護霊を倒し水晶を割る|遅れる声は止みました。もう聞けない声を惜しむ人が、小さな破片を拾います。|録音日を掲げて再生を続ける|礼拝堂は過去と現在を分けて祈る場所になりました。
片目の聖像|修復師のサイ|聖像の片目を戻す依頼です。外された宝玉を探してください。|片目は地下牢への覗き窓で、両目を戻すと囚人の見張りが再開します。|眼窩の奥には彫刻でない磨かれた管が通っています。|聖像を正面から拝む位置と、牢の見張り台の角度が一致します。|覗き管を塞ぎ透明でない目を入れる|像は元の顔に戻りました。地下牢の監視記録だけが、礼拝堂の外へ出ます。|宝玉を守る騎士霊を倒して元に戻す|修復師は褒められました。囚人は再び祈りの目を避けて座ります。|片目を残し由来を銘板へ刻む|不完全な像が過去を語り始めました。修復費の残りは牢の整備に回ります。
映らない巡礼者|宿坊のウラ|鏡に映らない巡礼者がいます。礼拝堂へ入れてよいか判断してください。|巡礼者の衣服は銀磨き粉を含み、曇った鏡の表面を一時的に白くしています。|裸の手は映り、外套を近づけた場所だけ鏡が白みます。|荷物には修復工房の磨き布と、未払いの請求書があります。|外套を洗い修復師として紹介する|巡礼者は仕事を取り戻しました。宿坊は鏡だけで人を決めない規則を掲げます。|巡礼者につく影を倒し入堂を拒む|騒ぎは収まりました。外套の白い粉は、門の前にも残ります。|別室へ泊め鏡を使わず話を聞く|巡礼者は一晩だけ休めました。翌朝、宿坊の曇り鏡が一枚直っています。
赦しの領収書|商人のロア|罪を赦す証書を取り戻してください。日付が明日になっています。|証書は寄進の予約票で、商人は未来の支払いを過去の免罪に使っています。|文末には祈祷予定とあり、赦免の語だけ別の墨です。|控えには明日の代金が未収と記されています。|予約票と書き足しを分けて返す|商人は支払いと償いを別に求められました。礼拝堂は書式を変えます。|証書を奪った亡霊を倒して原本を渡す|商人は赦されたと触れ回りました。祈祷師には未収の帳簿だけが残ります。|証書を預かり被害者との面会を仲立ちする|赦しの紙より先に、返す品物が決まりました。
鏡の向こうの施し|施療人のネイ|鏡の前に置いた食糧が消えます。誰が受け取っているか調べてください。|鏡の裏は壁内の配膳口で、姿を見せられない患者へ食事を届けています。|鏡の下に皿の滑った跡があり、銀面には手が触れていません。|礼拝のない時刻だけ、壁の奥から食器を洗う音がします。|配膳口を整え患者の同意で案内する|施しの行先は明らかになりました。患者には見られずに食事を受ける権利も残ります。|鏡の魔物を倒して裏壁を壊す|食事の行先は分かりました。患者は見世物を避けて別の地下室へ移ります。|配膳表だけ公開し鏡を残す|人々は必要な分を届けるようになりました。誰が食べるかは尋ねません。
七番目の歌声|聖歌隊のキリ|六人の合唱に七人目が混じります。悪霊なら祓ってください。|七番目は退団した歌手の録音で、声を失った本人が合唱を整えています。|七番目の息継ぎだけ、何度歌っても全く同じ長さです。|裏の調律室には声を出さない指導者と、擦り切れた譜面があります。|録音と生歌の役割を明示して共演する|歌手は声の代わりに指揮を執りました。七人の名が揃って礼拝録に残ります。|録音を守る影を倒し六人だけにする|合唱は純粋な生声になりました。キリは失われた低音を一人で探します。|録音を追悼曲として別に流す|本番は六人、終わりは七人になりました。拍手は調律室にも届きます。
夜だけの告解|告解係のオル|誰もいない夜に告解が書き込まれます。犯人を見つけてください。|昼の告解を覚えた書記鳥が、夜に聞いた順で書き写しています。|文章には鳥にしか書けない短い引っ掻き線が混じっています。|同じ日の順番が揃い、鳥の籠だけ昼の窓へ向いています。|鳥を移し写本を本人へ返す|告解の秘密は守られました。鳥は昼の献立を覚える仕事へ移ります。|書記鳥の守り獣を倒し籠を壊す|夜の告解は止まりました。鳥は屋根へ逃げ、覚えた名前を町で鳴きます。|写本を封印して閲覧者を限る|告解は証拠にも噂にもされず、封じた日付だけが帳簿へ残ります。
聖水の沈殿|施療人のネイ|聖水瓶の底に黒い沈殿があります。飲ませてよいか確かめてください。|沈殿は浄化材の炭で、水は清いが瓶の交換を怠った印でもあります。|黒い粒は炭の組織を持ち、上澄みには異臭がありません。|交換札は三月前で止まり、予備の炭箱は未開封です。|炭を交換し水と設備を別々に検査する|聖水は使えました。ネイは奇跡の由来とは別に清掃当番を決めます。|井戸の影を祓い全ての瓶を捨てる|不安は一度収まりました。次の給水まで患者は水を少しずつ分けます。|上澄みを生活用へ回し飲用分を買う|治療は続きました。費用を負担した人々が交換札を見に来ます。
顔を売る仮面|仮面師のチセ|礼拝用の仮面が持ち主を替えて出回っています。原型を回収してください。|仮面は名を隠して互いに告解を聞くための共通顔で、所有者は一人ではありません。|内側の額当ては交換式で、同じ顔に何人分もの汗跡があります。|注文帳には個人名でなく、その日の聞き手の人数が記されています。|共同所有を認め修理帳へ全員の印を残す|仮面は巡回用具として戻りました。チセは誰の顔でもない顔を彫り直します。|仮面の亡霊を倒し最初の買い手へ返す|仮面は飾られました。告解室には聞き手の顔が見えるようになります。|原型だけ保存し人数分の複製を作る|使う顔は増えました。互いを区別するため、裏側だけに小さな印が付きます。
砕けない祈り|修復師のサイ|大鏡を壊せば封印が解けると分かりました。封じられた声をどう扱うか決めてください。|大鏡は悪霊だけでなく、追放された者の証言も一緒に封じています。|封印文には罪名と同じ欄に異議申立の記号が刻まれています。|声の一部は攻撃でなく、日付と担当者名を繰り返しています。|証言を写し敵意のある影だけ退ける|鏡は小さな記録板へ分かれました。礼拝堂は祈る場であり、証言を聞く場にもなります。|鏡の主を倒し全ての声を封じ直す|礼拝は静かに続きます。サイは銘板に封印の数だけ刻みました。|鏡を閉鎖区画へ移して調査を継続する|即座の解放は叶いませんでした。初めて、封じられた者にも審査の日が決まります。
# 05 灰時計の書庫
返却日のない本|司書のシフ|返却日が消える本を回収してください。借り手が何年も戻りません。|本の返却印は貸出でなく移住許可で、借り手は書庫の奥へ住み移っています。|貸出欄に部屋番号があり、返却箱には家賃の硬貨が入っています。|奥の本棚に生活用の窪みがあり、借り手の筆跡の献立が貼られています。|移住記録として台帳を作り直す|行方不明者は住人として数え直されました。司書には本と人の二つの管理簿ができます。|書棚の守護者を倒し本だけ回収する|蔵書は戻りました。住人は居場所を失い、別の未返却本の陰へ移ります。|借り手に会って返却期限を相談する|本は本人の手で返りました。部屋を借りる契約は改めて交わされます。
砂時計の残業|記録係のテオ|砂時計が落ち切らず、交代できません。仕掛けを調べてください。|管理者が湿った砂を使い、交代時刻を遅らせています。|粒は上部で固まり、逆さにすると別の場所へ塊で落ちます。|予備砂は乾いていますが、使用分だけ給水口の傍へ置かれています。|乾いた砂と外の時計で労働時間を記す|過去の超過分が計算されました。交代の鐘は書庫の外にも設置されます。|時計の番獣を倒し砂時計を割る|交代はできました。翌日から時刻のない勤務をどう数えるか揉め始めます。|二つの時計を並べ短い方で交代する|勤務は短くなりました。管理者は毎日、二つの時刻を説明するようになります。
墨を食う火|写本師のアリ|本を焼かず文字だけ消す火が広がっています。消えた内容を探してください。|保存用薬剤が特定の安墨だけに反応し、燃えて見える光を出しています。|高価な赤字は残り、安い黒墨の追記だけが光っています。|薬剤の使用記録は、予算削減で安墨へ替えた日と重なります。|薬剤を止め控えから追記を戻す|本文も訂正も読み直せます。アリは安い墨を恥じず、薬剤との組合せを記します。|火の精を倒し燃えた棚を封鎖する|光は見えなくなりました。訂正前の間違いが正本として残ります。|残った文字を写し消えた箇所を空欄にする|空欄は隠されませんでした。次の読者が、何を知らないか分かります。
未来の訃報|新聞係のユズ|明日の死者一覧が届きました。名のある冒険者を救ってください。|訃報は処刑予定の内部書類で、予言に見せて異議申立を諦めさせています。|死亡時刻は全員同じで、欄外に執行順の小さな番号があります。|紙の透かしは役所専用で、訂正には審査中の印が押されています。|書類を公開し処刑前の審査を要求する|一覧は取り消されました。救われた者の罪が消えたわけではなく、裁判が始まります。|訃報の配達霊を倒し紙を処分する|人々は安心しました。予定そのものを知らぬまま翌朝を迎えます。|名のある人へ紙を渡し避難を助ける|何人かは逃れました。残った者のため、ユズは空いた行も印刷します。
白紙の相続|代書人のサキ|遺言状が白紙になっています。内容を復元してください。|遺言は熱で消える仮契約用の墨で書かれ、正式な同意が得られていませんでした。|署名欄に筆圧がなく、本文の跡だけが裏まで残っています。|同じ紙の契約見本には同意まで加熱厳禁と記されています。|未成立の文書と認め相続人で協議する|復元文は参考にとどまりました。遺された人たちは、自分の名で分配を決めます。|白紙を守る霊を倒し筆跡を正本にする|分配は早く済みました。署名しなかった者の異議だけが残ります。|財産を一時保管し署名の証人を探す|誰もすぐには受け取れません。サキは保管費を先に説明します。
